
Archivo: '5.dat'
1BCB:0854	IN	278, 00  	(BYTE)
1BCB:0865	IN	278, 55  	(BYTE)
1BCB:0878	IN	278, AA  	(BYTE)
1BCB:00E2	IN	278, 00  	(BYTE)
1BCB:00F9	IN	27A, CC  	(BYTE)
1BCB:014A	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
1BCB:0272	IN	279, 96  	(BYTE)
